NumberOfNodes;Fanout2;Fanout4;Fanout6;Fanout8;Fanout10
1000;5.6;5.0;4.6;4.2;3.3334
2000;5.8931;5.6;5.24;4.25;3.8317
3000;6.6238;5.9;5.4;4.32;3.9662
4000;7.361;6.2;5.52;4.38;4.0608
5000;7.85;6.39;5.58;4.4;4.1
6000;8.000;6.79;5.6;4.6;4.1714
7000;8.2689;6.8188;5.605;4.78;4.19798;
8000;8.5999;6.85;5.61;5;4.2032
9000;8.6667;6.9;5.76;5.07;4.2674
10000;8.7;7;6;5.115;4.3333
