NumberOfNodes;Fanout2;Fanout4;Fanout6;Fanout8;Fanout10
1000;2.6155;2.4016;2.1378;2.4499;1.535
2000;2.9317;3.2304;3.1117;2.5622;2.5731
3000;3.7662;3.3153;3.3514;2.424;2.6238
4000;3.3167;3.0419;3.343;2.2693;2.6131
5000;4.0608;2.9439;3.1951;2.514;2.5477
6000;4.1714;3.3667;3.052;3.1196;2.5117
7000;3.9179;3.8188;2.833;3.5497;2.4689
8000;3.6432;4.0684;2.806;3.7348;2.439
9000;4.1674;4.1002;2.7565;3.7116;2.4062
10000;4.4593;4.2374;3.0948;3.4633;2.3767
